Nom du commerce;Adresse;Code postal;Type de commerce;Fabriqué à Paris;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
CARTRIDGE WORLD;43 rue du Rocher;75008;Équipements informatiques;non;Livraisons à domicile;;;;01 43 87 91 68;cwparis8@cartridgeworld.fr;"{""coordinates"": [2.3203908709435637, 48.87778493107247], ""type"": ""Point""}";48.87778493107247, 2.3203908709435637
La Fraicheur de mon jardin;65 rue du Mont Cenis;75018;Primeur;non;Livraisons à domicile;;;https://www.facebook.com/people/Lafraicheur-Demonjardin/100020293957999;06 44 73 26 94;;"{""coordinates"": [2.3435456868333806, 48.891394965881446], ""type"": ""Point""}";48.891394965881446, 2.3435456868333806
Coquelicot 7;18 rue d'estrees;75007;Primeur;non;Livraisons à domicile;"Fromagerie
Vin
Épicerie fine";;;06 60 92 51 95;;"{""coordinates"": [2.310886854787358, 48.85155403612854], ""type"": ""Point""}";48.85155403612854, 2.310886854787358
A la mode de Bretagne;8 RUE HÉLIOPOLIS;75017;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;;;;06 84 32 65 27;;"{""coordinates"": [2.294173852662397, 48.88484181743717], ""type"": ""Point""}";48.88484181743717, 2.294173852662397
Boucherie de la Chapelle;10 rue de l'Olive;75018;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;et chevaline;;;07 82 28 84 90;;"{""coordinates"": [2.361416638984635, 48.89080646527569], ""type"": ""Point""}";48.89080646527569, 2.361416638984635
Tante Emma-Laden;31 RUE DU CHÂTEAU D'EAU;75010;Épicerie fine;non;Livraisons à domicile;Produits allemands - Par tél entre 10 et 13h;;https://www.tante-emma-laden.fr;01 42 46 51 17;;"{""coordinates"": [2.3584261313071964, 48.87101175980264], ""type"": ""Point""}";48.87101175980264, 2.3584261313071964
Tentation Fromage;3 rue stephenson;75018;Fromagerie;non;Livraisons à domicile;;;https://www.tentationfromage.fr;;;"{""coordinates"": [2.3566631624507495, 48.885290241783224], ""type"": ""Point""}";48.885290241783224, 2.3566631624507495
Paradis;11 rue de Thionville;75019;Primeur;non;Livraisons à domicile;Fruits et légumes;;;06 99 69 19 19;;"{""coordinates"": [2.383353873706625, 48.88924461821002], ""type"": ""Point""}";48.88924461821002, 2.383353873706625
Dulcinea;41 rue pierre fontaine;75009;Restaurant ou traiteur;non;Livraisons à domicile;Service continu;;http://www.dulcinea-paris.com;01 48 74 56 26;contact@dulcinea-paris.com;"{""coordinates"": [2.3328451059127198, 48.8831212225708], ""type"": ""Point""}";48.8831212225708, 2.3328451059127198
MaSpatule.com;8 rue de L'Isly;75008;Épicerie fine;non;Livraisons à domicile;;;https://www.maspatule.com;01 84 16 05 83;contact@maspatule.com;"{""coordinates"": [2.3256068535649503, 48.87486460108532], ""type"": ""Point""}";48.87486460108532, 2.3256068535649503
Slimania Nesic;39 Rue de Bretagne;75003;Fromagerie;non;Livraisons à domicile;;;;06 26 72 90 72;;"{""coordinates"": [2.3621636083564734, 48.863038894562465], ""type"": ""Point""}";48.863038894562465, 2.3621636083564734
Liu Zhuang;119 rue Blomet;75015;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;;;;06 65 23 74 79;amandazhuang729@gmail.com;"{""coordinates"": [2.2971967408058727, 48.83986974043455], ""type"": ""Point""}";48.83986974043455, 2.2971967408058727
LE LIVRE DE CAVE;3 RUE CASIMIR PERIER;75007;Caviste - Brasserie;non;Livraisons à domicile;Livraison possible sur Paris tous arrondissements à partir de 300€;;https://www.lelivredecave.com;06 24 12 18 50;frederic.beal@lelivredecave.com;"{""coordinates"": [2.3201145214644856, 48.85887502687687], ""type"": ""Point""}";48.85887502687687, 2.3201145214644856
ECIG ET ZEN;3 RUE DE PICPUS;75012;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;;;https://www.ecig-zen.com;09 83 07 41 41;contact@ecig-zen.fr;"{""coordinates"": [2.3926705775432864, 48.848357851093574], ""type"": ""Point""}";48.848357851093574, 2.3926705775432864
Eric Kayser;79 rue du Commerce;75015;Boulangerie - pâtisserie;non;Livraisons à domicile;;;https://www.maison-kayser.com/fr/boulangeries/100001004-commerce.html;01 44 19 88 54;;"{""coordinates"": [2.29413017192586, 48.84485829698332], ""type"": ""Point""}";48.84485829698332, 2.29413017192586
L'Etoile du berger;27 rue Friant;75014;Boulangerie - pâtisserie;non;Livraisons à domicile;"ivraison du Lundi au Vendredi : 8h-13h30.
Prise de commande jusqu'à 16h la veille.
Livraison gratuite à partir de 25 euros
Règlement par CB.";;https://www.letoileduberger.fr;07 49 10 91 29;;"{""coordinates"": [2.323634152557139, 48.8243423560124], ""type"": ""Point""}";48.8243423560124, 2.323634152557139
Philippe Meme;33 rue du Château-d'Eau;75010;Épicerie fine;non;Livraisons à domicile;;;;;information@tante-emma-laden.fr;"{""coordinates"": [2.358140965502923, 48.87094648942646], ""type"": ""Point""}";48.87094648942646, 2.358140965502923
OUGASHOP;1 BIS CITE VOLTAIRE;75011;Épicerie fine;non;Livraisons à domicile;TOUT POUR L'ART DU GATEAU : chocolat, pate a sucre, arome, confetti, moule a gateau;;https://www.ougashop.com/;06 16 40 21 73;ougashop@gmail.com;"{""coordinates"": [2.389463802166584, 48.85270173925265], ""type"": ""Point""}";48.85270173925265, 2.389463802166584
Julhès Paris Saint Maur;31 Rue Saint-Maur;75011;Épicerie fine;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/julhes-maur;;julhescomptabilite@gmail.com;"{""coordinates"": [2.3812116884343446, 48.860907584550795], ""type"": ""Point""}";48.860907584550795, 2.3812116884343446
